min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
3,2,salience_times_contention,0.8,Community Infrastructure,0.1,0.2670069001973839,0.11007742063185189,0.01007742063185188
3,2,salience_only,0.0,NPV,0.25,0.00993749884769262,0.25,0.0
3,2,salience_only,0.0,IRR,0.2,0.00860981028411291,0.2,0.0
3,2,salience_only,0.0,Geological Feasibility,0.15,0.03301959844392412,0.15,0.0
3,2,salience_only,0.0,Market Stability,0.15,0.01286873836169546,0.15,0.0
3,2,salience_only,0.0,Local Employment,0.15,0.6054447952110852,0.15,0.0
3,2,salience_only,0.0,Community Infrastructure,0.1,0.277430826627328,0.1,0.0
3,2,salience_only,0.1,NPV,0.25,0.00993749884769262,0.24704550755444893,-0.0029544924455510713
3,2,salience_only,0.1,IRR,0.2,0.00860981028411291,0.19761019213402364,-0.0023898078659763677
3,2,salience_only,0.1,Geological Feasibility,0.15,0.03301959844392412,0.14856910460949282,-0.0014308953905071697
3,2,salience_only,0.1,Market Stability,0.15,0.01286873836169546,0.14827071037133221,-0.0017292896286677795
3,2,salience_only,0.1,Local Employment,0.15,0.6054447952110852,0.15704558550391864,0.00704558550391865
3,2,salience_only,0.1,Community Infrastructure,0.1,0.277430826627328,0.10145889982678383,0.0014588998267838216
3,2,salience_only,0.3,NPV,0.25,0.00993749884769262,0.24135774706540106,-0.008642252934598943
3,2,salience_only,0.3,IRR,0.2,0.00860981028411291,0.1930095187503484,-0.006990481249651598
3,2,salience_only,0.3,Geological Feasibility,0.15,0.03301959844392412,0.14581445540457003,-0.004185544595429969
3,2,salience_only,0.3,Market Stability,0.15,0.01286873836169546,0.14494161564344832,-0.005058384356551676
3,2,salience_only,0.3,Local Employment,0.15,0.6054447952110852,0.1706092021284053,0.020609202128405307
3,2,salience_only,0.3,Community Infrastructure,0.1,0.277430826627328,0.10426746100782694,0.004267461007826934
3,2,salience_only,0.5,NPV,0.25,0.00993749884769262,0.23594699543132885,-0.014053004568671146
3,2,salience_only,0.5,IRR,0.2,0.00860981028411291,0.1886329102281566,-0.01136708977184342
3,2,salience_only,0.5,Geological Feasibility,0.15,0.03301959844392412,0.14319396484145094,-0.006806035158549051
3,2,salience_only,0.5,Market Stability,0.15,0.01286873836169546,0.1417746565611234,-0.008225343438876598
3,2,salience_only,0.5,Local Employment,0.15,0.6054447952110852,0.18351223504552364,0.03351223504552364
3,2,salience_only,0.5,Community Infrastructure,0.1,0.277430826627328,0.10693923789241663,0.006939237892416628
3,2,salience_only,0.8,NPV,0.25,0.00993749884769262,0.2283075520272657,-0.021692447972734313
3,2,salience_only,0.8,IRR,0.2,0.00860981028411291,0.18245357408999752,-0.017546425910002494
3,2,salience_only,0.8,Geological Feasibility,0.15,0.03301959844392412,0.1394940926791866,-0.010505907320813385
3,2,salience_only,0.8,Market Stability,0.15,0.01286873836169546,0.137303225176239,-0.012696774823760998
3,2,salience_only,0.8,Local Employment,0.15,0.6054447952110852,0.20173003478528062,0.051730034785280626
3,2,salience_only,0.8,Community Infrastructure,0.1,0.277430826627328,0.11071152124203061,0.010711521242030606
